Maryon_Lane	birthPlace	Natal_Province	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.3877 | 17 | 19
Maryon_Lane	birthPlace	Cyprus	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.8517 | 20 | 35
Claire_Loewenfeld	birthPlace	Berlin	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.5 | 71 | 86
Claire_Loewenfeld	birthPlace	Buckinghamshire	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.4456 | 20 | 26
James_Boughtwood_Comber	birthPlace	Garlieston	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.2104 | 2 | 1
James_Boughtwood_Comber	birthPlace	Southampton	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.6735 | 2 | 2
Elisabeth_Alida_Haanen	birthPlace	Utrecht	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4163 | 19 | 19
Elisabeth_Alida_Haanen	birthPlace	Amsterdam	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.9097 | 11 | 12
Philippe_Mouskes	birthPlace	Ghent	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.3035 | 2 | 4
Philippe_Mouskes	birthPlace	Tournai	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.7328 | 2 | 3
Arthur_Rose_Eldred	birthPlace	Brooklyn	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4275 | 8 | 13
Arthur_Rose_Eldred	birthPlace	Clementon,_New_Jersey	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.3996 | 2 | 3
George_Hopkins_Williams_II	birthPlace	Frost,_Texas	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.3948 | 6 | 6
George_Hopkins_Williams_II	birthPlace	Dallas	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.8077 | 22 | 28
Hamilton_Revelle	birthPlace	Gibraltar	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4393 | 10 | 17
Hamilton_Revelle	birthPlace	France	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.3959 | 9 | 19
Pieter_Withoos	birthPlace	Amersfoort	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4163 | 12 | 12
Pieter_Withoos	birthPlace	Amsterdam	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.9097 | 9 | 10
Manuel_Guimarães	birthPlace	Albergaria-a-Velha	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.0 | 1 | 0
Manuel_Guimarães	birthPlace	Lisbon	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.4435 | 189 | 197
Jo_Herbst	birthPlace	Berlin	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4252 | 24 | 27
Jo_Herbst	birthPlace	West_Berlin	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.4401 | 25 | 26
António_Rodrigo_Pinto_da_Silva	birthPlace	Porto	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4311 | 108 | 98
António_Rodrigo_Pinto_da_Silva	birthPlace	Lisbon	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.8842 | 185 | 182
Yevgeny_Ostashev	birthPlace	Elektrougli	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.3758 | 15 | 19
Yevgeny_Ostashev	birthPlace	Baikonur	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.386 | 7 | 9
Tex_Terry	birthPlace	Coxville,_Indiana	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4384 | 10 | 9
Tex_Terry	birthPlace	Indiana	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4222 | 18 | 22
Jetty_Paerl	birthPlace	Amsterdam	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4208 | 10 | 12
Jetty_Paerl	birthPlace	Amstelveen	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.9097 | 13 | 13
George_Marsh_(martyr)	birthPlace	Deane,_Greater_Manchester	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.2827 | 2 | 3
George_Marsh_(martyr)	birthPlace	Chester	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.378 | 2 | 2
William_Lee_Bergstrom	birthPlace	Austin,_Texas	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4371 | 14 | 17
William_Lee_Bergstrom	birthPlace	Las_Vegas	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.8517 | 16 | 19
Geertruid_Adriaansdochter	birthPlace	Netherlands	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.0 | 2 | 0
Geertruid_Adriaansdochter	birthPlace	IJpesloot	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.0 | 1 | 0
Patricia_Ziegfeld_Stephenson	birthPlace	New_York_City	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4168 | 91 | 118
Patricia_Ziegfeld_Stephenson	birthPlace	Los_Angeles	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.8517 | 96 | 120
Ralph_Peduto	birthPlace	New_Jersey	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.3981 | 16 | 21
Ralph_Peduto	birthPlace	Santa_Cruz,_California	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.7136 | 11 | 20
Heinz_Conrads	birthPlace	Austria-Hungary	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4496 | 63 | 90
Heinz_Conrads	birthPlace	Austria	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.4503 | 101 | 121
Fred_W._Bateman	birthPlace	Roper,_North_Carolina	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.2849 | 4 | 3
Fred_W._Bateman	birthPlace	Newport_News,_Virginia	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.5405 | 4 | 3
Marcella_Rovena	birthPlace	Conegliano	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4414 | 34 | 50
Marcella_Rovena	birthPlace	Italy	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4472 | 41 | 51
Billy_Marsh	birthPlace	England	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.4505 | 118 | 128
Billy_Marsh	birthPlace	London	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.4461 | 173 | 194
Bezalel_Rakow	birthPlace	Frankfurt	o	o	1.0	(1 birthPlace 0) < (1 birthPlace 0) | 1.0 | 0.448 | 65 | 65
Bezalel_Rakow	birthPlace	Gateshead	x	o	0.9641	(1 birthPlace 0) < (1 deathPlace 0) | 0.9282 | 0.437 | 2 | 2
